"rep","arm","global_strength_est","total_coupling_est","abs_strength_true_edges","spurious_abs_coupling","mae_all","mae_true_nonzero","mae_true_zero","n_phantom_edges_gt_01"
12,"naive",6.39813958066377,5.97244201006463,4.07292392962925,2.32521565103452,0.0930038772406602,0.102292392962925,0.0894313711936354,12
12,"adjusted",4.99152949227426,3.62828168490041,3.37383198290201,1.61769750937225,0.0609996696048792,0.0578290596403404,0.0622191349758557,5
13,"baseline",4.15465910991756,2.55107934817339,2.82503850740568,1.32962060251187,0.0501880038865752,0.0477147537404833,0.0511392539427644,4
13,"naive",5.45233533345042,5.25121233056476,3.61910507287881,1.83323026057161,0.0701705926162177,0.0692911073612227,0.0705088561758311,9
13,"adjusted",4.10625842608409,2.93348514099715,2.92496966801844,1.18128875806564,0.0469592122935685,0.0509242884502823,0.0454341830025248,2
14,"baseline",4.1083291974267,2.89638372556247,2.84080369607483,1.26752550135187,0.0472755603875003,0.0434394672598141,0.0487509808212258,3
14,"naive",5.55218741188874,5.45314932811862,3.56562685420722,1.98656055768152,0.0720117679996582,0.0605863090306171,0.0764061752954432,7
14,"adjusted",3.83229989602436,2.82261542780431,2.75390068117875,1.07839921484561,0.0445869042880317,0.0526729339523525,0.0414768928786775,1
15,"baseline",4.57256022131509,3.47633660145743,3.18289157318024,1.38966864813485,0.0475416856947049,0.0321832036874526,0.0534487941590326,5
15,"naive",5.58935975086693,5.27738337841304,3.85272707574684,1.73663267512009,0.0746263096888141,0.0949914473677219,0.0667935644276957,4
15,"adjusted",4.39560161644002,2.90844133782741,3.14689654296917,1.24870507347085,0.0516440299945149,0.0610480006331682,0.0480271182104175,3
16,"baseline",4.13745814332381,2.8372504514577,2.51610758379503,1.62135055952878,0.0619053059806134,0.0607240455773305,0.062359636904953,4
16,"naive",5.84587203197176,5.57248704882143,3.92218509776952,1.92368693420224,0.0776631119992156,0.0872185097769523,0.0739879590077784,8
16,"adjusted",4.51851647511283,3.51153727996591,3.29178023019039,1.22673624492244,0.0445071150986052,0.0375519898627348,0.0471821632662477,1
17,"baseline",4.3132308013673,2.29649525432732,2.92010858144606,1.39312221992123,0.0473143734225642,0.0310195223291077,0.0535816238431243,4
17,"naive",5.78147603386949,5.55641685692734,3.84897248644364,1.93250354742585,0.0785186033494107,0.0894166173152937,0.0743270595163787,8
17,"adjusted",4.3926039379362,2.84519810294192,3.02735133620124,1.36525260173496,0.0508103698261032,0.0463920712004756,0.0525097154513446,3
18,"baseline",4.39061960799151,3.38760419139935,3.25559932324671,1.1350202847448,0.0452182385014224,0.0492836301306409,0.0436546263363384,3
18,"naive",5.79297274827035,5.63772394300604,3.6621313476519,2.13084140061845,0.0761936874519542,0.0612131347651897,0.0819554384853251,10
18,"adjusted",4.11899539696117,3.33455599184017,2.96997445279869,1.14902094416248,0.0412294418096874,0.0335238960986268,0.0441931132370185,3
19,"baseline",4.04953141404089,3.07459364700801,2.97176503145688,1.07776638258402,0.0465358812511932,0.059752534245894,0.0414525531763083,2
19,"naive",5.9407350922261,5.74166288200023,3.66857147438954,2.27216361783656,0.0802981970062805,0.0618571474389544,0.0873909083783291,8
19,"adjusted",4.61124571202788,3.61783659752007,3.02582643692919,1.58541927509869,0.0516794156193686,0.0275039687198581,0.0609776644268727,6
20,"baseline",4.06712998324164,3.10624833821043,2.7865996186579,1.28053036458374,0.0503626485601682,0.0532524983582317,0.0492511678686053,3
20,"naive",6.10302121865186,5.83236675724296,4.04996208703338,2.05305913161848,0.0848061449625518,0.0999962087033381,0.0789638127545571,9
20,"adjusted",4.65374747227383,3.44661128990064,3.34018054878316,1.31356692349066,0.0455317030127329,0.0325574384967724,0.0505218047496408,1
21,"baseline",4.16241300298227,2.49419010504948,2.98621049541902,1.17620250756325,0.0394020176642173,0.0242270128348571,0.0452385579832019,4
21,"naive",5.89596181769576,5.48567157393843,3.96834827603718,1.92761354165858,0.079824187843321,0.0946057220700972,0.0741389823714839,7
21,"adjusted",4.77824941573481,3.23452795846475,3.27480775364035,1.50344166209445,0.0552479469032956,0.0485484426424187,0.0578246793113252,5
22,"baseline",4.28659404941446,2.80306643520712,2.93122042895468,1.35537362045978,0.0584460455100105,0.0748684017900596,0.0521297546330685,1
22,"naive",5.41847543751537,5.17827723480722,3.47623663514899,1.94223880236638,0.0690481323854733,0.0543493963510662,0.0747014923987068,9
22,"adjusted",3.89805064494057,2.762921717188,2.77676904266725,1.12128160227333,0.0434370603718887,0.0442452571114666,0.043126215472051,2
23,"baseline",4.13103356430095,2.97242075596993,3.23106801976456,0.899965544536391,0.0395466605303457,0.0523714234556052,0.0346140594052458,1
23,"naive",5.70761867615429,5.61086419296378,4.00472459518565,1.70289408096864,0.0738227410042858,0.0954724595185653,0.0654959261911014,6
23,"adjusted",4.35677760780024,3.54756726743911,3.40112722085606,0.955650386944184,0.0390611887191756,0.0450552406946136,0.0367557841132379,1
24,"baseline",4.27300392207676,3.24114566162378,3.10510058745622,1.16790333462054,0.0435740273372946,0.040076164952207,0.0449193590238667,1
24,"naive",5.57276393273229,5.39534124694211,3.61955837890181,1.95320555383049,0.0714360587770322,0.061849256214267,0.0751232905319418,6
24,"adjusted",3.79507990521278,2.97349132828498,2.9088366880392,0.886243217173572,0.0351883086845492,0.03805358954702,0.0340862775835989,1
25,"baseline",4.02246565443601,3.05403846414553,2.95026389855826,1.07220175587775,0.0411951784975018,0.0410824670032319,0.041238529072221,3
25,"naive",5.90435423389348,5.73932959009437,3.73085355443574,2.17350067945773,0.0874441771707762,0.097448969869021,0.0835961799791436,11
25,"adjusted",4.32680438608535,3.43774779112698,3.01633851839387,1.31046586769148,0.0516163752962613,0.0547723642973929,0.0504025333727491,4
26,"baseline",4.19052771441922,3.5093675225873,3.09783330861007,1.09269440580915,0.0413212692263689,0.039487128634013,0.0420267079157366,1
26,"naive",5.94764587113805,5.58063875441364,3.74041841081301,2.20722746032504,0.0804901630871682,0.0690418410813014,0.0848933638586555,9
26,"adjusted",4.5149075430667,3.5616393993175,3.12812562250464,1.38678192056207,0.0453789392471187,0.0246859892334207,0.0533377661754641,3
27,"baseline",4.23197950549411,3.00367080376715,2.93126004004045,1.30071946545367,0.0457344911805407,0.0345722217045797,0.050027671748218,2
27,"naive",6.21111026112909,5.35908557342681,3.98452352101923,2.22658674010985,0.09016966031227,0.101952103113187,0.0856379515426866,11
